,date,rConsumption,USGrowth,GDPDef,RFR,qt,year,GDPDef_p,RFR_Q,Rt,mt
56,1985-01-01,5020.163,3.964032258064516,54.065,8.183333333333334,1,1985,0.009881201434548625,0.01057713189878471,1.0828442347377778,0.8948162511631831
57,1985-04-01,5066.25,4.1853968253968254,54.413000000000004,7.46,2,1985,0.006436696568944855,0.012213303431055145,1.0494065844442104,0.9371786906655167
58,1985-07-01,5162.475,4.332222222222223,54.74100000000001,7.1066666666666665,3,1985,0.006027971256868714,0.011738695409797953,1.0290524292285683,0.8843152731838269
59,1985-10-01,5173.643,4.5346875,55.047,7.166666666666666,4,1985,0.005589959993423488,0.012326706673243176,1.0411447796834168,0.9772467136704679
60,1986-01-01,5218.851,5.129672131147541,55.321000000000005,6.8966666666666665,1,1986,0.004977564626591935,0.01226410204007473,1.126229851793512,0.9396466140193511
61,1986-04-01,5275.72,5.67125,55.531000000000006,6.14,2,1986,0.003796026825256149,0.01155397317474385,1.1017814555179095,0.9276713689995427
62,1986-07-01,5369.049,5.673125,55.758,5.5233333333333325,3,1986,0.004087806810610273,0.00972052652272306,0.9962428081331851,0.8911307247216912
63,1986-10-01,5401.98,5.708125,56.062,5.353333333333333,4,1986,0.005452132429426992,0.00793120090390634,1.0007173068126134,0.9543365739735616
64,1987-01-01,5407.371999999999,6.57258064516129,56.418,5.536666666666666,1,1987,0.006350112375584249,0.007491554291082416,1.1450929000253862,0.984091632219613
65,1987-04-01,5481.166,6.873015873015873,56.809,5.656666666666666,2,1987,0.006930412279768872,0.007211254386897794,1.0387799782158977,0.9126724713144262
66,1987-07-01,5543.723000000001,7.45171875,57.239,6.043333333333333,3,1987,0.007569223186467022,0.007539110146866311,1.076630040670346,0.9248340121991611
67,1987-10-01,5555.451,5.974375,57.695,5.863333333333332,4,1987,0.007966596201890441,0.006691737131442889,0.7937779677619602,0.977526181775673
68,1988-01-01,5653.588000000001,6.153968253968254,58.147,5.723333333333333,1,1988,0.007834301065950289,0.006474032267383044,1.0222262917104077,0.8912636289066114
69,1988-04-01,5695.326,6.38936507936508,58.713,6.21,2,1988,0.009733950160799365,0.005791049839200636,1.0285172750133043,0.9472587048843399
70,1988-07-01,5745.933000000001,6.54765625,59.415,7.01,3,1988,0.011956466199989801,0.0055685338000101975,1.0128176965953297,0.9388222579624759
